Age_(years);CR_1_CpG_9;CR_2_CpG_3;CR_4_CpG_27.28.29;CR_12_1_CpG_3;CR_13_CpG_2;CR_21_CpG_11;CR_23_CpG_3
59;0.37;0.535;0.21;0.485;0.18;0.455;0.415
32;0.265;0.715;0.135;0.29;0.32;0.71;0.5
31;0.305;0.725;0.155;0.27;0.345;0.735;0.55
31;0.28;0.67;0.17;0.29;0.42;0.73;0.58
28;0.25;0.7;0.14;0.33;0.35;0.67;0.515
32;0.31;0.69;0.155;0.32;0.37;0.79;0.45
42.6;0.35;0.753;0.22;0.395;0.245;0.775;0.445
42.6;0.34;0.768;0.235;0.41;0.325;0.83;0.4
42.8;0.36;0.78;0.145;0.37;0.275;0.74;0.465
42.8;0.365;0.73;0.155;0.395;0.275;0.785;0.485
43.5;0.38;0.774;0.185;0.385;0.29;0.7;0.42
43.5;0.41;0.746;0.19;0.395;0.26;0.69;0.48
43.6;0.39;0.684;0.19;0.41;0.275;0.61;0.41
44.6;0.38;0.556;0.2;0.43;0.29;0.7;0.42
44.7;0.445;0.701;0.22;0.47;0.235;0.7;0.45
44.7;0.36;0.63;0.2;0.395;0.26;0.71;0.42
45.5;0.4;0.715;0.19;0.41;0.285;0.5;0.47
45.6;0.38;0.738;0.17;0.375;0.18;0.445;0.42
45.6;0.39;0.641;0.2;0.46;0.29;0.65;0.53
45.6;0.34;0.604;0.2;0.465;0.325;0.515;0.425
46.6;0.385;0.718;0.27;0.455;0.295;0.73;0.455
46.6;0.37;0.67;0.21;0.48;0.235;0.75;0.46
47.5;0.37;0.726;0.2;0.31;0.205;0.58;0.47
47.5;0.315;0.749;0.175;0.44;0.265;0.59;0.46
47.5;0.4;0.715;0.19;0.41;0.295;0.655;0.51
47.5;0.43;0.698;0.19;0.44;0.26;0.6;0.5
48.6;0.425;0.726;0.23;0.36;0.245;0.545;0.49
48.6;0.37;0.685;0.22;0.385;0.125;0.585;0.6
49.6;0.44;0.701;0.235;0.38;0.215;0.615;0.21
49.7;0.44;0.709;0.215;0.57;0.15;0.57;0.44
49.7;0.42;0.75;0.295;0.43;0.23;0.62;0.43
50.5;0.405;0.735;0.19;0.405;0.285;0.71;0.505
